,laptop_ID,Company,Product,TypeName,Display,ScreenResolution,CPU,RAM,Memory,Gpu,Operating System,Weight,Price_euros,Price-USD,Unnamed: 0,Name,Warranty,Price,rating
515,522.0,Asus,VivoBook E12,Netbook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,2.0,32GB Flash Storage,Intel HD Graphics 500,win10,1.1kg,245.0,276.84999999999997,,,,,
516,523.0,HP,15-bs190od (i5-8250U/4GB/1TB/W10),Notebook,15.6,Touchscreen 1366x768,Intel Core i5 8250U 1.6GHz,4.0,1TB HDD,Intel UHD Graphics 620,win10,2.04kg,521.47,589.2610999999999,,,,,
517,524.0,Asus,ROG Zephyrus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,24.0,512GB SSD,Nvidia GeForce GTX1080,win10,2.24kg,2968.0,3353.8399999999997,,,,,
518,525.0,HP,Probook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Nvidia GeForce 930MX,win10,2.04kg,889.0,1004.5699999999999,,,,,
519,526.0,Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX1050 Ti,win10,3kg,1504.0,1699.5199999999998,,,,,
520,527.0,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,win10,3.2kg,1399.0,1580.87,,,,,
521,528.0,HP,Spectre X360,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,1.32kg,1399.0,1580.87,,,,,
522,529.0,Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,1.64kg,1279.73,1446.0948999999998,,,,,
523,530.0,HP,ProBook 440,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4.0,128GB SSD,Intel HD Graphics 520,win10,1.63kg,689.0,778.5699999999999,,,,,
524,531.0,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,128GB SSD +  1TB HDD,AMD Radeon 530,Linux,2.8kg,889.0,1004.5699999999999,,,,,
525,532.0,Lenovo,ThinkPad L470,Notebook,14.0,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8.0,256GB SSD,Intel HD Graphics 520,win7,2.02kg,1340.0,1514.1999999999998,,,,,
526,533.0,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4.0,1TB HDD,Nvidia GeForce 920MX,win10,2.2kg,799.0,902.8699999999999,,,,,
527,534.0,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8.0,2TB HDD,Nvidia GeForce 920MX ,No OS,2.2kg,459.0,518.67,,,,,
528,535.0,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,500GB HDD,AMD Radeon R5 M430,win10,2.3kg,585.0,661.05,,,,,
529,536.0,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,1.9kg,1377.0,1556.0099999999998,,,,,
530,537.0,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,win10,4.42kg,3012.77,3404.4300999999996,,,,,
531,538.0,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,500GB HDD,Intel HD Graphics 620,win10,2.0kg,860.0,971.8,,,,,
532,539.0,Asus,Zenbook UX510UW-FI095T,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,win10,2kg,1299.0,1467.87,,,,,
533,540.0,Mediacom,SmartBook Edge,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4.0,32GB SSD,Intel HD Graphics 500,win10,1.2kg,369.0,416.96999999999997,,,,,
534,541.0,Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,win10,2.3kg,1649.0,1863.37,,,,,
535,542.0,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8.0,256GB SSD,Nvidia GeForce 930MX,win10,1.93kg,1369.0,1546.9699999999998,,,,,
536,543.0,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,256GB SSD,AMD Radeon 530,win10,2.2kg,797.41,901.0732999999999,,,,,
537,544.0,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N3710 1.6GHz,4.0,256GB SSD,Intel HD Graphics 405,win10,1.86kg,398.99,450.85869999999994,,,,,
538,545.0,HP,Omen 15-ce006nv,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12.0,1TB HDD,Nvidia GeForce GTX 1060,win10,2.62kg,1799.0,2032.87,,,,,
539,546.0,Lenovo,Thinkpad E470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,Nvidia GeForce 940MX,win10,1.87kg,859.0,970.67,,,,,
540,547.0,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 8550U 1.8GHz,8.0,256GB SSD,Intel UHD Graphics 620,win10,1.2kg,1399.0,1580.87,,,,,
541,548.0,Dell,Vostro 5468,Notebook,14.0,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,128GB SSD,Intel HD Graphics 520,win10,1.6kg,735.87,831.5330999999999,,,,,
542,549.0,HP,Envy 13-AB020nr,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,1.34kg,1145.0,1293.85,,,,,
543,550.0,Acer,Aspire 7,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,1TB HDD,Nvidia GeForce GTX 1050,Linux,2.4kg,798.0,901.7399999999999,,,,,
544,551.0,Asus,VivoBook X540YA-XX519T,Notebook,15.6,1366x768,AMD E-Series 7110 1.8GHz,4.0,500GB HDD,AMD Radeon R2 Graphics,win10,2kg,349.0,394.36999999999995,,,,,
545,552.0,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4.0,128GB SSD,Intel HD Graphics 620,win10,2.1kg,705.5,797.2149999999999,,,,,
546,553.0,Lenovo,ThinkPad E470,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,500GB HDD,Intel HD Graphics 620,win10,1.87kg,785.0,887.05,,,,,
547,554.0,Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4.0,1TB HDD,Intel HD Graphics 520,No OS,2.15kg,462.35,522.4555,,,,,
548,555.0,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,500GB HDD,Intel HD Graphics 520,win10,1.86kg,397.0,448.60999999999996,,,,,
549,556.0,Lenovo,ThinkPad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,512GB SSD,Intel HD Graphics 620,win10,1.99kg,1729.0,1953.7699999999998,,,,,
550,557.0,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,128GB SSD,Intel HD Graphics 520,win10,2.2kg,499.0,563.8699999999999,,,,,
551,558.0,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,1.9kg,1116.99,1262.1987,,,,,
552,559.0,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,win10,4.42kg,2699.0,3049.87,,,,,
553,560.0,HP,17-X047na (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8.0,1TB HDD,Intel HD Graphics 520,win10,2.65kg,544.15,614.8894999999999,,,,,
554,561.0,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,1TB HDD,Nvidia GeForce 930MX,win10,2.63kg,1280.0,1446.3999999999999,,,,,
555,562.0,Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4.0,500GB HDD,Intel HD Graphics 500,Linux,2kg,224.0,253.11999999999998,,,,,
556,563.0,Mediacom,SmartBook 130,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4.0,32GB Flash Storage,Intel HD Graphics,win10,1.35kg,255.0,288.15,,,,,
557,564.0,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6.0,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,win10,2.8kg,949.0,1072.37,,,,,
558,565.0,HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,6.0,128GB SSD,AMD Radeon 530,win10,1.91kg,568.9,642.8569999999999,,,,,
559,566.0,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4.0,1TB HDD,AMD Radeon R5 M420,win10,2.18kg,617.9,698.2269999999999,,,,,
560,567.0,Acer,Spin SP111-31,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 2.0GHz,4.0,32GB Flash Storage,Intel HD Graphics 500,win10,1.25kg,349.0,394.36999999999995,,,,,
561,568.0,Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4.0,128GB SSD,Intel HD Graphics 620,win10,2.05kg,630.0,711.9,,,,,
562,569.0,HP,EliteBook 1030,Ultrabook,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core M 6Y75 1.2GHz,16.0,512GB SSD,Intel HD Graphics 515,win10,1.16kg,1965.0,2220.45,,,,,
563,570.0,Lenovo,Thinkpad P71,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Nvidia Quadro M620M,win10,3.4kg,2999.0,3388.87,,,,,
564,571.0,Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,win10,2.5kg,839.0,948.0699999999999,,,,,
565,572.0,Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8.0,128GB SSD,Intel UHD Graphics 620,win10,1.21kg,1599.0,1806.87,,,,,
566,573.0,Dell,Latitude 5580,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,4.0,500GB HDD,Intel HD Graphics 620,win10,1.93kg,959.0,1083.6699999999998,,,,,
567,574.0,Fujitsu,Lifebook A557,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8.0,1TB HDD,Intel HD Graphics 620,win10,2.2kg,739.0,835.0699999999999,,,,,
568,575.0,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4.0,500GB HDD,Intel HD Graphics 505,win10,2.2kg,344.0,388.71999999999997,,,,,
569,576.0,Lenovo,ThinkPad L470,Notebook,14.0,1366x768,Intel Core i5 7200U 2.5GHz,4.0,500GB HDD,Intel HD Graphics 620,win10,2.02kg,990.0,1118.6999999999998,,,,,
570,577.0,HP,ZBook 17,Workstation,17.3,1600x900,Intel Core i5 7440HQ 2.8GHz,8.0,500GB HDD,Nvidia Quadro M1200,win10,3.14kg,1860.99,2102.9186999999997,,,,,
571,578.0,HP,14-am079na (N3710/8GB/2TB/W10),Notebook,14.0,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8.0,2TB HDD,Intel HD Graphics 405,win10,1.94kg,389.0,439.56999999999994,,,,,
572,579.0,HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6.0,256GB SSD,AMD Radeon 530,win10,1.95kg,649.0,733.3699999999999,,,,,
573,580.0,Lenovo,Thinkpad E570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,2.3kg,830.0,937.8999999999999,,,,,
574,581.0,Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4.0,500GB HDD,Intel HD Graphics 620,win10,2.05kg,685.0,774.05,,,,,
575,582.0,Mediacom,SmartBook 141,Notebook,14.0,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4.0,32GB SSD,Intel HD Graphics,win10,1.4kg,249.0,281.36999999999995,,,,,
576,583.0,Toshiba,Tecra X40-D-10H,Ultrabook,14.0,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16.0,512GB SSD,Intel HD Graphics 620,win10,1.24kg,1865.0,2107.45,,,,,
577,584.0,Lenovo,IdeaPad Y910-17ISK,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,win10,4.6kg,2663.0,3009.1899999999996,,,,,
578,585.0,MSI,GT73VR Titan,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16.0,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,win10,4.14kg,2729.0,3083.7699999999995,,,,,
579,586.0,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,AMD Radeon R5 M430,Linux,2.2kg,749.01,846.3812999999999,,,,,
580,587.0,Mediacom,SmartBook Edge,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4.0,32GB SSD,Intel HD Graphics 500,win10,1.45kg,389.0,439.56999999999994,,,,,
581,588.0,Dell,Latitude 5580,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,8.0,500GB HDD,Intel HD Graphics 620,win10,1.9kg,1008.52,1139.6275999999998,,,,,
582,589.0,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4.0,128GB SSD,Intel HD Graphics 620,win10,1.49kg,719.0,812.4699999999999,,,,,
583,590.0,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,16.0,256GB SSD,Nvidia GeForce 930MX,win10,1.93kg,1537.39,1737.2507,,,,,
584,591.0,Dell,Chromebook 11,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4.0,16GB Flash Storage,Intel HD Graphics 400,chrome,1.26kg,295.0,333.34999999999997,,,,,
585,592.0,MSI,GT80S 6QE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,win10,4.5kg,2349.0,2654.37,,,,,
586,593.0,HP,Omen 17-AN010nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,win10,3.78kg,1498.0,1692.7399999999998,,,,,
587,594.0,Lenovo,Thinkpad T460s,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,12.0,256GB SSD,Intel HD Graphics 520,win10,1.4kg,1673.0,1890.4899999999998,,,,,
588,595.0,Lenovo,Ideapad 320-15IKBR,Notebook,15.6,Touchscreen 1366x768,Intel Core i7 8550U 1.8GHz,12.0,1TB HDD,Intel HD Graphics 620,win10,2.2kg,609.0,688.17,,,,,
589,596.0,Asus,ROG Strix,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,win10,2.73kg,1770.0,2000.1,,,,,
590,597.0,Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),2 in 1 Convertible,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8.0,1TB HDD,Intel HD Graphics 520,win10,2.2kg,739.0,835.0699999999999,,,,,
591,598.0,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12.0,512GB SSD,AMD Radeon 530,win10,2.2kg,949.0,1072.37,,,,,
592,599.0,Dell,Inspiron 3179,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Core M 7Y30 1.0GHz,4.0,128GB SSD,Intel HD Graphics 615,win10,1.39kg,603.0,681.39,,,,,
593,600.0,Samsung,Notebook Odyssey,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,win10,2.5kg,1699.0,1919.87,,,,,
594,601.0,Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,500GB HDD,Intel HD Graphics 520,No OS,2.8kg,529.0,597.77,,,,,
595,602.0,Lenovo,IdeaPad 110-15ISK,Notebook,15.6,1366x768,Intel Core i3 6100U 2.3GHz,8.0,1TB HDD,Intel HD Graphics 520,win10,2.29kg,459.0,518.67,,,,,
596,603.0,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,512GB SSD,Intel HD Graphics 620,win10,1.37kg,2025.0,2288.25,,,,,
597,604.0,Lenovo,Thinkpad T470p,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,256GB SSD,Intel HD Graphics 630,win10,1.7kg,1474.0,1665.62,,,,,
598,605.0,Dell,Latitude 5289,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,1.34kg,1670.0,1887.1,,,,,
599,606.0,Dell,Precision 3520,Workstation,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Nvidia Quadro M620,win10,2.06kg,1763.0,1992.1899999999998,,,,,
600,607.0,HP,EliteBook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,1.84kg,1219.0,1377.4699999999998,,,,,
601,608.0,HP,ProBook 450,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4.0,500GB HDD,Intel HD Graphics 620,win10,2.1kg,668.48,755.3824,,,,,
602,609.0,Acer,Aspire 1,Notebook,14.0,Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4.0,32GB Flash Storage,Intel HD Graphics 500,win10,1.6kg,329.0,371.77,,,,,
603,610.0,MSI,Laptop MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,16.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,win10,4.14kg,2199.0,2484.87,,,,,
604,611.0,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4.0,1TB HDD,AMD Radeon R5 M420,Linux,2.18kg,465.0,525.4499999999999,,,,,
605,612.0,MSI,GS63VR 7RF,Gaming,15.6,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1060,win10,1.8kg,2299.0,2597.87,,,,,
606,613.0,Toshiba,Tecra Z50-C-144,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 520,win10,2.2kg,1399.0,1580.87,,,,,
607,614.0,Lenovo,IdeaPad 310-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6.0,1TB HDD,Intel HD Graphics 620,win10,2.4kg,564.0,637.3199999999999,,,,,
608,615.0,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Intel HD Graphics 630,win10,2kg,1299.0,1467.87,,,,,
609,616.0,Acer,Swift SF114-31-P5HY,Notebook,14.0,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4.0,128GB Flash Storage,Intel HD Graphics 405,win10,1.6kg,349.0,394.36999999999995,,,,,
610,617.0,Lenovo,Thinkpad P51,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Xeon E3-1535M v6 3.1GHz,32.0,1TB SSD,Nvidia Quadro M2200M,win10,2.5kg,4899.0,5535.87,,,,,
611,618.0,Dell,Inspiron 7559,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16.0,1TB HDD,Nvidia GeForce GTX 960<U+039C>,win10,2.59kg,879.01,993.2812999999999,,,,,
612,619.0,Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4.0,1TB HDD,Intel HD Graphics 520,Linux,2.18kg,443.9,501.6069999999999,,,,,
613,620.0,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4.0,1TB HDD,Intel HD Graphics 520,Linux,2.25kg,359.0,405.66999999999996,,,,,
614,621.0,Dell,Latitude 5580,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,4.0,500GB HDD,Intel HD Graphics 620,Linux,1.93kg,869.0,981.9699999999999,,,,,
615,622.0,Asus,FX753VD-GC007T (i7-7700HQ/8GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,win10,3kg,1168.0,1319.84,,,,,
616,623.0,Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,128GB SSD,AMD Radeon R5 M420,Linux,2.18kg,569.0,642.9699999999999,,,,,
617,624.0,HP,EliteBook 850,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,512GB SSD,Intel HD Graphics 620,win10,1.84kg,1389.0,1569.57,,,,,
618,625.0,MSI,GT62VR 7RE,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,win10,2.94kg,2267.86,2562.6818,,,,,
619,626.0,Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,2 in 1 Convertible,11.6,IPS Panel Touchscreen 1366x768,Intel Celeron Quad Core N3160 1.6GHz,4.0,32GB Flash Storage,Intel HD Graphics 400,chrome,1.25kg,379.0,428.27,,,,,
620,627.0,HP,ProBook 650,Notebook,14.0,1366x768,Intel Core i5 7300U 2.6GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,2.31kg,1124.0,1270.12,,,,,
621,628.0,Lenovo,ThinkPad T470,Notebook,14.0,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8.0,256GB SSD,Intel HD Graphics 520,win7,1.65kg,1465.0,1655.4499999999998,,,,,
622,629.0,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4.0,1TB HDD,AMD Radeon 530,win10,2.2kg,776.0,876.8799999999999,,,,,
623,630.0,Fujitsu,LifeBook A557,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,win10,2.2kg,799.0,902.8699999999999,,,,,
624,631.0,HP,EliteBook 850,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4.0,500GB HDD,Intel HD Graphics 520,win7,1.88kg,932.0,1053.1599999999999,,,,,
625,632.0,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,1TB HDD,Nvidia GeForce 920MX,win10,2.2kg,899.0,1015.8699999999999,,,,,
626,633.0,Mediacom,SmartBook 140,Notebook,14.0,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,2.0,32GB Flash Storage,Intel HD Graphics,win10,1.4kg,239.0,270.07,,,,,
627,634.0,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,128GB SSD,Intel HD Graphics 620,No OS,2.2kg,468.0,528.8399999999999,,,,,
628,635.0,Asus,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,6.0,1TB HDD,Intel HD Graphics 620,win10,1.5kg,639.01,722.0812999999999,,,,,
629,636.0,Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,256GB SSD,Nvidia GeForce GTX 1050,win10,2kg,1820.0,2056.6,,,,,
630,637.0,Asus,ZenBook 3,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16.0,512GB SSD,Intel HD Graphics 620,win10,1.1kg,1900.0,2147.0,,,,,
631,639.0,Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,win10,2.62kg,1479.0,1671.2699999999998,,,,,
632,640.0,Lenovo,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4.0,256GB SSD,Intel UHD Graphics 620,win10,1.8kg,829.0,936.7699999999999,,,,,
633,641.0,Lenovo,Ideapad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,1TB HDD,Nvidia GeForce 920MX ,win10,2.2kg,579.0,654.27,,,,,
634,642.0,Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,8.0,1TB HDD,Intel HD Graphics 500,win10,2kg,399.0,450.86999999999995,,,,,
635,643.0,Asus,VivoBook Pro,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,1TB HDD,Nvidia GeForce GTX 1050,win10,1.99kg,906.62,1024.4805999999999,,,,,
